,Round ID,Total Win/Loss,Game Provider Round ID,Jackpot Contribution,Win/Loss
439,ugs-2213080001,-1.0,,,
440,ugs-2213079967,-5.0,,,
441,ugs-2213079943,-1.0,,,
442,ugs-2213079900,-1.0,,,
443,ugs-2213079892,-1.0,,,
444,ugs-2213079817,-1.0,,,
445,ugs-2213079803,-20.0,,,
446,ugs-2213079835,-5.0,,,
447,ugs-2213079826,383.0,,,
448,ugs-2213079841,-1.0,,,
449,ugs-2213079836,-5.0,,,
450,ugs-2213079764,-5.0,,,
451,ugs-2213079716,-1.0,,,
452,ugs-2213079719,-1.0,,,
453,ugs-2213079714,-1.0,,,
454,ugs-2213079686,-5.0,,,
455,ugs-2213079677,13.4,,,
456,ugs-2213079694,-5.0,,,
457,ugs-2213079662,-10.0,,,
458,ugs-2213079591,-1.0,,,
459,ugs-2213079542,-20.0,,,
460,ugs-2213079595,-1.0,,,
461,ugs-2213079337,-5.0,,,
462,ugs-2213078990,-3.5,,,
463,ugs-2213079363,-1.0,,,
464,ugs-2213079270,-5.0,,,
465,ugs-2213079224,-10.0,,,
466,ugs-2213079052,-6.0,,,
467,ugs-2213079038,-1.0,,,
468,ugs-2213078874,1.0,,,
469,ugs-2213078853,-1.0,,,
470,ugs-2213078700,-20.0,,,
471,ugs-2213078718,3.5,,,
472,ugs-2213078602,-5.0,,,
473,ugs-2213078582,-3.5,,,
474,ugs-2213078519,-1.0,,,
475,ugs-2213078311,-1.0,,,
476,ugs-2213078272,-5.0,,,
477,ugs-2213078252,15.0,,,
478,ugs-2213078260,-5.0,,,
479,ugs-2213078204,27.0,,,
480,ugs-2213078235,-1.0,,,
481,ugs-2213078166,-5.0,,,
482,ugs-2213078121,-5.0,,,
483,ugs-2213078128,-5.0,,,
484,ugs-2213078066,-5.0,,,
485,ugs-2213078049,0.0,,,
486,ugs-2213078031,0.5,,,
487,ugs-2213078055,-1.0,,,
488,ugs-2213077972,-5.0,,,
489,ugs-2213077975,-5.0,,,
490,ugs-2213077953,-1.0,,,
491,ugs-2213077940,-5.0,,,
492,ugs-2213077608,-1.0,,,
493,ugs-2213077656,-1.0,,,
494,ugs-2213077574,-5.0,,,
495,ugs-2213077557,-1.0,,,
496,ugs-2213077603,-5.0,,,
497,ugs-2213077559,-5.0,,,
498,ugs-2213077544,4.2,,,
499,ugs-2213077516,-1.0,,,
500,ugs-2213077493,-5.0,,,
501,ugs-2213077422,-1.0,,,
502,ugs-2213077397,-1.0,,,
503,ugs-2213077419,-5.0,,,
504,ugs-2213077416,-5.0,,,
505,ugs-2213077320,-1.0,,,
506,ugs-2213077234,380.0,,,
507,ugs-2213077233,-1.0,,,
508,ugs-2213077247,-1.0,,,
509,ugs-2213077160,-1.0,,,
510,ugs-2213077223,-1.0,,,
511,ugs-2213077235,-5.0,,,
512,ugs-2213077091,-1.0,,,
513,ugs-2213077097,-1.0,,,
514,ugs-2213077113,-10.0,,,
515,ugs-2213077114,-5.0,,,
516,ugs-2213077081,-1.0,,,
517,ugs-2213077052,305.0,,,
518,ugs-2213077009,-1.0,,,
519,ugs-2213077038,45.0,,,
520,ugs-2213076975,-1.0,,,
521,ugs-2213076937,-5.0,,,
522,ugs-2213076931,-10.0,,,
523,ugs-2213076912,-1.0,,,
524,ugs-2213076913,-20.0,,,
525,ugs-2213076890,-1.0,,,
526,ugs-2213076914,1.9,,,
527,ugs-2213076915,-1.0,,,
528,ugs-2213076837,-5.0,,,
529,ugs-2213076788,-1.0,,,
530,ugs-2213076804,-1.0,,,
531,ugs-2213076774,21.0,,,
532,ugs-2213076697,-1.0,,,
533,ugs-2213076717,-1.0,,,
534,ugs-2213076726,-1.0,,,
535,ugs-2213076671,-1.0,,,
536,ugs-2213076600,-1.0,,,
537,ugs-2213076613,6.0,,,
538,ugs-2213076625,-10.0,,,
539,ugs-2213076584,-1.0,,,
540,ugs-2213076552,-5.0,,,
541,ugs-2213076497,-1.0,,,
542,ugs-2213076478,-10.0,,,
543,ugs-2213076467,-1.0,,,
544,ugs-2213076482,-5.0,,,
545,ugs-2213076435,-20.0,,,
546,ugs-2213076403,-1.0,,,
547,ugs-2213076397,1.0,,,
548,ugs-2213076398,-5.0,,,
549,ugs-2213076372,70.0,,,
550,ugs-2213076318,-1.0,,,
551,ugs-2213076344,-1.0,,,
552,ugs-2213076334,-5.0,,,
553,ugs-2213076331,-10.0,,,
554,ugs-2213076263,-5.0,,,
555,ugs-2213076259,-1.0,,,
556,ugs-2213076255,-20.0,,,
557,ugs-2213076221,-1.0,,,
558,ugs-2213076231,-8.0,,,
559,ugs-2213076257,-5.0,,,
560,ugs-2213076199,-10.0,,,
561,ugs-2213076188,-5.0,,,
562,ugs-2213076137,-5.0,,,
563,ugs-2213076142,-1.0,,,
564,ugs-2213076130,-1.0,,,
565,ugs-2213076045,-10.0,,,
566,ugs-2213076049,-5.0,,,
567,ugs-2213076031,-5.0,,,
568,ugs-2213075989,1.0,,,
569,ugs-2213075988,-20.0,,,
570,ugs-2213075906,-10.0,,,
571,ugs-2213075921,0.5,,,
572,ugs-2213075901,2.0,,,
573,ugs-2213075854,-5.0,,,
574,ugs-2213075811,-1.0,,,
575,ugs-2213075798,-20.0,,,
576,ugs-2213075810,-1.0,,,
577,ugs-2213075770,-10.0,,,
578,ugs-2213075806,-10.0,,,
579,ugs-2213075710,-1.0,,,
580,ugs-2213075682,-1.0,,,
581,ugs-2213075694,15.0,,,
582,ugs-2213075678,-5.0,,,
583,ugs-2213075600,-5.0,,,
584,ugs-2213075618,-20.0,,,
